"data";"quant_casos";"quant_obitos";"dia_semana"
"2020-10-31";996;33;7
"2020-11-01";897;36;1
"2020-11-02";1074;26;2
"2020-11-03";3304;28;3
"2020-11-04";2884;33;4
"2020-11-05";2951;28;5
"2020-11-06";3104;33;6
"2020-11-07";1484;33;7
"2020-11-08";1146;33;1
"2020-11-09";4120;26;2
"2020-11-10";3619;26;3
"2020-11-11";3526;38;4
"2020-11-12";3729;30;5
"2020-11-13";3808;32;6
"2020-11-14";1718;38;7
"2020-11-15";1655;39;1
"2020-11-16";4964;43;2
"2020-11-17";4536;40;3
"2020-11-18";4710;35;4
"2020-11-19";4309;45;5
"2020-11-20";4589;33;6
"2020-11-21";2487;32;7
"2020-11-22";1829;31;1
"2020-11-23";6482;48;2
"2020-11-24";5261;48;3
"2020-11-25";5905;56;4
"2020-11-26";5476;51;5
"2020-11-27";5612;46;6
"2020-11-28";2924;50;7
"2020-11-29";1750;51;1
"2020-11-30";8457;79;2
"2020-12-01";6287;52;3
"2020-12-02";6015;61;4
"2020-12-03";6164;55;5
"2020-12-04";6300;58;6
"2020-12-05";2700;59;7
"2020-12-06";1753;47;1
"2020-12-07";7981;73;2
"2020-12-08";5788;64;3
"2020-12-09";5790;64;4
"2020-12-10";5649;71;5
"2020-12-11";5500;83;6
"2020-12-12";2814;70;7
"2020-12-13";1475;77;1
"2020-12-14";6482;59;2
"2020-12-15";5309;74;3
"2020-12-16";4872;86;4
"2020-12-17";4690;61;5
"2020-12-18";4981;73;6
"2020-12-19";2216;62;7
"2020-12-20";1412;87;1
"2020-12-21";6292;67;2
"2020-12-22";4350;69;3
"2020-12-23";4346;78;4
"2020-12-24";2736;61;5
"2020-12-25";1029;63;6
"2020-12-26";2457;79;7
"2020-12-27";1433;64;1
"2020-12-28";5931;75;2
"2020-12-29";4342;74;3
"2020-12-30";4171;85;4
"2020-12-31";2447;60;5
"2021-01-01";1219;61;6
"2021-01-02";2418;68;7
"2021-01-03";1820;59;1
"2021-01-04";5915;71;2
"2021-01-05";4993;67;3
"2021-01-06";4658;55;4
"2021-01-07";4588;63;5
"2021-01-08";4275;72;6
"2021-01-09";1979;64;7
"2021-01-10";1333;62;1
"2021-01-11";4917;72;2
"2021-01-12";3734;66;3
"2021-01-13";3580;53;4
"2021-01-14";3774;58;5
"2021-01-15";3646;65;6
"2021-01-16";1579;62;7
"2021-01-17";1090;54;1
"2021-01-18";4765;49;2
"2021-01-19";3213;56;3
"2021-01-20";3105;48;4
"2021-01-21";3098;57;5
"2021-01-22";2909;52;6
"2021-01-23";1388;59;7
"2021-01-24";1222;57;1
"2021-01-25";3713;46;2
"2021-01-26";3004;48;3
"2021-01-27";2942;46;4
"2021-01-28";2759;54;5
"2021-01-29";2634;41;6
"2021-01-30";1222;50;7
"2021-01-31";1504;41;1
"2021-02-01";3554;41;2
"2021-02-02";2682;50;3
"2021-02-03";3205;46;4
"2021-02-04";3124;50;5
"2021-02-05";3313;47;6
"2021-02-06";1680;58;7
"2021-02-07";1167;39;1
"2021-02-08";4881;47;2
"2021-02-09";3879;44;3
"2021-02-10";4146;60;4
"2021-02-11";4644;61;5
"2021-02-12";4739;55;6
"2021-02-13";2663;62;7
"2021-02-14";2051;48;1
"2021-02-15";5516;54;2
"2021-02-16";4037;50;3
"2021-02-17";7877;77;4
"2021-02-18";7859;66;5
"2021-02-19";8462;72;6
"2021-02-20";5495;73;7
"2021-02-21";3558;83;1
"2021-02-22";12522;99;2
"2021-02-23";10977;124;3
"2021-02-24";11184;111;4
"2021-02-25";10878;108;5
"2021-02-26";11404;127;6
"2021-02-27";6546;137;7
"2021-02-28";4845;159;1
"2021-03-01";15430;181;2
"2021-03-02";12424;178;3
"2021-03-03";12008;210;4
"2021-03-04";11114;223;5
"2021-03-05";11362;195;6
"2021-03-06";6166;228;7
"2021-03-07";4004;253;1
"2021-03-08";13232;277;2
"2021-03-09";10291;254;3
"2021-03-10";10052;312;4
"2021-03-11";9603;304;5
"2021-03-12";9455;271;6
"2021-03-13";4891;315;7
"2021-03-14";3497;326;1
"2021-03-15";11047;322;2
"2021-03-16";8790;349;3
"2021-03-17";7895;339;4
"2021-03-18";7391;341;5
"2021-03-19";7218;303;6
"2021-03-20";3904;298;7
"2021-03-21";2231;318;1
"2021-03-22";8239;294;2
"2021-03-23";5870;290;3
"2021-03-24";5629;275;4
"2021-03-25";5712;301;5
"2021-03-26";5231;264;6
"2021-03-27";3042;258;7
"2021-03-28";1745;254;1
"2021-03-29";6161;250;2
"2021-03-30";4375;223;3
"2021-03-31";4178;239;4
"2021-04-01";4176;250;5
"2021-04-02";1614;193;6
"2021-04-03";2633;197;7
"2021-04-04";1529;181;1
"2021-04-05";5871;213;2
"2021-04-06";4768;186;3
"2021-04-07";4443;157;4
"2021-04-08";4491;174;5
"2021-04-09";4254;172;6
"2021-04-10";2376;163;7
"2021-04-11";1423;150;1
"2021-04-12";5054;144;2
"2021-04-13";3745;149;3
"2021-04-14";3625;149;4
"2021-04-15";3493;160;5
"2021-04-16";3568;144;6
"2021-04-17";1945;137;7
"2021-04-18";1265;138;1
"2021-04-19";4911;145;2
"2021-04-20";3732;121;3
"2021-04-21";1595;152;4
"2021-04-22";4264;134;5
"2021-04-23";3581;119;6
"2021-04-24";1930;125;7
"2021-04-25";1249;111;1
"2021-04-26";4568;103;2
"2021-04-27";3177;114;3
"2021-04-28";2989;106;4
"2021-04-29";3177;128;5
"2021-04-30";3248;119;6
"2021-05-01";1542;108;7
"2021-05-02";1403;112;1
"2021-05-03";5245;100;2
"2021-05-04";3913;96;3
"2021-05-05";3863;103;4
"2021-05-06";3420;101;5
"2021-05-07";3683;95;6
"2021-05-08";2008;93;7
"2021-05-09";1335;89;1
"2021-05-10";5589;85;2
"2021-05-11";4262;96;3
"2021-05-12";4360;92;4
"2021-05-13";4404;75;5
"2021-05-14";4669;81;6
"2021-05-15";2560;104;7
"2021-05-16";1853;83;1
"2021-05-17";6944;100;2
"2021-05-18";5506;88;3
"2021-05-19";5328;96;4
"2021-05-20";5488;92;5
"2021-05-21";5385;92;6
"2021-05-22";2997;95;7
"2021-05-23";1783;92;1
"2021-05-24";7017;99;2
"2021-05-25";5647;112;3
"2021-05-26";5364;92;4
"2021-05-27";5686;107;5
"2021-05-28";5651;98;6
"2021-05-29";3174;89;7
"2021-05-30";1918;85;1
"2021-05-31";7211;114;2
"2021-06-01";5723;99;3
"2021-06-02";5939;104;4
"2021-06-03";2567;107;5
"2021-06-04";6372;113;6
"2021-06-05";3473;98;7
"2021-06-06";2349;108;1
"2021-06-07";7901;116;2
"2021-06-08";5626;106;3
"2021-06-09";5335;105;4
"2021-06-10";4937;106;5
"2021-06-11";4917;106;6
"2021-06-12";2266;99;7
"2021-06-13";1561;104;1
"2021-06-14";6068;120;2
"2021-06-15";4463;97;3
"2021-06-16";4057;87;4
"2021-06-17";3728;91;5
"2021-06-18";3805;94;6
"2021-06-19";1915;100;7
"2021-06-20";1313;94;1
"2021-06-21";4949;97;2
"2021-06-22";3765;95;3
"2021-06-23";3677;77;4
"2021-06-24";3277;101;5
"2021-06-25";3472;87;6
"2021-06-26";1687;74;7
"2021-06-27";1032;71;1
"2021-06-28";3785;81;2
"2021-06-29";2160;87;3
"2021-06-30";2489;71;4
"2021-07-01";2382;88;5
"2021-07-02";2611;89;6
"2021-07-03";1341;67;7
"2021-07-04";866;77;1
"2021-07-05";3399;72;2
"2021-07-06";2613;68;3
"2021-07-07";2490;72;4
"2021-07-08";2297;51;5
"2021-07-09";2276;68;6
"2021-07-10";1159;51;7
"2021-07-11";783;62;1
"2021-07-12";2879;58;2
"2021-07-13";2151;60;3
"2021-07-14";2147;54;4
"2021-07-15";1872;55;5
"2021-07-16";1797;53;6
"2021-07-17";1047;49;7
"2021-07-18";513;57;1
"2021-07-19";1857;56;2
"2021-07-20";1466;47;3
"2021-07-21";1529;59;4
"2021-07-22";1415;43;5
"2021-07-23";1495;42;6
"2021-07-24";772;37;7
"2021-07-25";582;37;1
"2021-07-26";1695;47;2
"2021-07-27";1333;38;3
"2021-07-28";1135;37;4
"2021-07-29";1008;36;5
"2021-07-30";1070;35;6
"2021-07-31";549;32;7
"2021-08-01";487;28;1
"2021-08-02";1567;28;2
"2021-08-03";1240;32;3
"2021-08-04";1205;33;4
"2021-08-05";1247;30;5
"2021-08-06";1270;31;6
"2021-08-07";705;24;7
"2021-08-08";507;22;1
"2021-08-09";1656;21;2
"2021-08-10";1174;35;3
"2021-08-11";1243;22;4
"2021-08-12";1140;29;5
"2021-08-13";1161;23;6
"2021-08-14";692;24;7
"2021-08-15";487;28;1
"2021-08-16";1600;27;2
"2021-08-17";1284;22;3
"2021-08-18";1187;25;4
"2021-08-19";1232;27;5
"2021-08-20";1198;27;6
"2021-08-21";556;27;7
"2021-08-22";481;25;1
"2021-08-23";1346;31;2
"2021-08-24";1049;20;3
"2021-08-25";982;26;4
"2021-08-26";908;18;5
"2021-08-27";974;18;6
"2021-08-28";542;20;7
"2021-08-29";365;22;1
"2021-08-30";1243;19;2
"2021-08-31";951;32;3
"2021-09-01";994;29;4
"2021-09-02";974;28;5
"2021-09-03";927;17;6
"2021-09-04";481;26;7
"2021-09-05";336;22;1
"2021-09-06";914;17;2
"2021-09-07";371;13;3
"2021-09-08";980;15;4
"2021-09-09";846;29;5
"2021-09-10";872;20;6
"2021-09-11";510;18;7
"2021-09-12";392;26;1
"2021-09-13";1091;17;2
"2021-09-14";941;16;3
"2021-09-15";932;26;4
"2021-09-16";994;13;5
"2021-09-17";799;22;6
"2021-09-18";586;19;7
"2021-09-19";415;20;1
"2021-09-20";593;20;2
"2021-09-21";1386;23;3
"2021-09-22";1117;15;4
"2021-09-23";1167;15;5
"2021-09-24";1197;24;6
"2021-09-25";669;16;7
"2021-09-26";467;21;1
"2021-09-27";1615;26;2
"2021-09-28";1227;22;3
"2021-09-29";1204;23;4
"2021-09-30";1160;18;5
"2021-10-01";1202;28;6
"2021-10-02";632;22;7
"2021-10-03";495;17;1
"2021-10-04";1478;23;2
"2021-10-05";1154;10;3
"2021-10-06";1116;22;4
"2021-10-07";1153;25;5
"2021-10-08";1065;11;6
"2021-10-09";601;23;7
"2021-10-10";465;20;1
"2021-10-11";1091;24;2
"2021-10-12";538;28;3
"2021-10-13";1678;17;4
"2021-10-14";1371;35;5
"2021-10-15";1199;14;6
"2021-10-16";662;19;7
"2021-10-17";537;20;1
"2021-10-18";1499;15;2
"2021-10-19";1219;23;3
"2021-10-20";1250;23;4
"2021-10-21";1274;23;5
"2021-10-22";1255;24;6
"2021-10-23";632;19;7
"2021-10-24";489;18;1
"2021-10-25";1568;27;2
"2021-10-26";1224;22;3
"2021-10-27";1168;20;4
"2021-10-28";1229;26;5
"2021-10-29";1119;21;6
"2021-10-30";638;21;7
"2021-10-31";452;24;1
"2021-11-01";1017;20;2
"2021-11-02";452;26;3
"2021-11-03";1454;18;4
"2021-11-04";1057;21;5
"2021-11-05";1097;23;6
"2021-11-06";511;23;7
"2021-11-07";384;20;1
"2021-11-08";1248;27;2
"2021-11-09";915;18;3
"2021-11-10";849;19;4
"2021-11-11";797;23;5
"2021-11-12";744;27;6
"2021-11-13";378;19;7
"2021-11-14";294;17;1
"2021-11-15";392;21;2
"2021-11-16";1008;20;3
"2021-11-17";674;16;4
"2021-11-18";624;23;5
"2021-11-19";673;10;6
"2021-11-20";353;21;7
"2021-11-21";246;17;1
"2021-11-22";821;18;2
"2021-11-23";688;23;3
"2021-11-24";567;20;4
"2021-11-25";614;17;5
"2021-11-26";542;14;6
"2021-11-27";240;23;7
"2021-11-28";211;14;1
"2021-11-29";744;19;2
"2021-11-30";569;18;3
"2021-12-01";518;10;4
"2021-12-02";524;14;5
"2021-12-03";498;12;6
"2021-12-04";253;12;7
"2021-12-05";181;11;1
"2021-12-06";597;11;2
"2021-12-07";393;12;3
"2021-12-08";409;14;4
"2021-12-09";422;6;5
"2021-12-10";359;8;6
"2021-12-11";140;10;7
"2021-12-12";111;8;1
"2021-12-13";421;11;2
"2021-12-14";299;7;3
"2021-12-15";299;8;4
"2021-12-16";296;12;5
"2021-12-17";300;11;6
"2021-12-18";167;10;7
"2021-12-19";90;9;1
"2021-12-20";367;5;2
"2021-12-21";283;6;3
"2021-12-22";404;5;4
"2021-12-23";444;6;5
"2021-12-24";362;4;6
"2021-12-25";173;6;7
"2021-12-26";296;2;1
"2021-12-27";877;9;2
"2021-12-28";983;6;3
"2021-12-29";1354;3;4
"2021-12-30";1497;5;5
"2021-12-31";1177;4;6
"2022-01-01";747;4;7
"2022-01-02";1449;5;1
"2022-01-03";5238;11;2
"2022-01-04";7999;3;3
"2022-01-05";10231;5;4
"2022-01-06";10902;6;5
"2022-01-07";11978;4;6
"2022-01-08";6851;8;7
"2022-01-09";4794;6;1
"2022-01-10";18091;8;2
"2022-01-11";17651;10;3
"2022-01-12";20718;6;4
"2022-01-13";21447;16;5
"2022-01-14";21278;10;6
"2022-01-15";11814;9;7
"2022-01-16";8080;14;1
"2022-01-17";28529;20;2
"2022-01-18";26518;30;3
"2022-01-19";28866;29;4
"2022-01-20";28143;25;5
"2022-01-21";27923;30;6
"2022-01-22";13251;31;7
"2022-01-23";8233;44;1
"2022-01-24";31542;49;2
"2022-01-25";26906;55;3
"2022-01-26";27130;37;4
"2022-01-27";24125;37;5
"2022-01-28";23010;32;6
"2022-01-29";10680;41;7
"2022-01-30";7512;41;1
"2022-01-31";27306;51;2
"2022-02-01";21520;52;3
"2022-02-02";18886;58;4
"2022-02-03";20843;56;5
"2022-02-04";18251;68;6
"2022-02-05";8179;57;7
"2022-02-06";5670;58;1
"2022-02-07";19940;52;2
"2022-02-08";14909;52;3
"2022-02-09";14530;62;4
"2022-02-10";14004;58;5
"2022-02-11";13472;49;6
"2022-02-12";5782;55;7
"2022-02-13";3746;60;1
"2022-02-14";14452;59;2
"2022-02-15";10333;50;3
"2022-02-16";9787;45;4
"2022-02-17";9024;53;5
"2022-02-18";8792;63;6
"2022-02-19";3625;51;7
"2022-02-20";2655;41;1
"2022-02-21";9403;51;2
"2022-02-22";6665;41;3
"2022-02-23";6196;54;4
"2022-02-24";5716;43;5
"2022-02-25";5467;33;6
"2022-02-26";2000;36;7
"2022-02-27";1367;40;1
"2022-02-28";2685;34;2
"2022-03-01";2074;36;3
"2022-03-02";4848;31;4
"2022-03-03";3760;27;5
"2022-03-04";3670;28;6
"2022-03-05";1491;29;7
"2022-03-06";998;32;1
"2022-03-07";3718;33;2
"2022-03-08";2609;18;3
"2022-03-09";2512;26;4
"2022-03-10";2352;19;5
"2022-03-11";2256;10;6
"2022-03-12";843;32;7
"2022-03-13";677;22;1
"2022-03-14";2679;31;2
"2022-03-15";1980;17;3
"2022-03-16";1982;21;4
"2022-03-17";2085;18;5
"2022-03-18";2027;17;6
"2022-03-19";732;8;7
"2022-03-20";608;22;1
"2022-03-21";2143;5;2
"2022-03-22";1518;12;3
"2022-03-23";1663;14;4
"2022-03-24";1606;12;5
"2022-03-25";1528;13;6
"2022-03-26";625;7;7
"2022-03-27";520;9;1
"2022-03-28";1820;16;2
"2022-03-29";1397;11;3
"2022-03-30";1350;13;4
"2022-03-31";1138;16;5
"2022-04-01";1082;10;6
"2022-04-02";434;12;7
"2022-04-03";356;7;1
"2022-04-04";1409;5;2
"2022-04-05";1226;8;3
"2022-04-06";1248;13;4
"2022-04-07";1175;9;5
"2022-04-08";1165;9;6
"2022-04-09";453;7;7
"2022-04-10";477;4;1
"2022-04-11";1508;9;2
"2022-04-12";1171;13;3
"2022-04-13";1299;7;4
"2022-04-14";1255;5;5
"2022-04-15";440;8;6
"2022-04-16";609;7;7
"2022-04-17";424;4;1
"2022-04-18";1961;4;2
"2022-04-19";1617;6;3
"2022-04-20";1813;6;4
"2022-04-21";622;5;5
"2022-04-22";1577;4;6
"2022-04-23";673;6;7
"2022-04-24";546;4;1
"2022-04-25";2276;3;2
"2022-04-26";1795;5;3
"2022-04-27";1974;5;4
"2022-04-28";1754;6;5
"2022-04-29";1758;2;6
"2022-04-30";736;3;7
"2022-05-01";614;3;1
"2022-05-02";2201;8;2
"2022-05-03";1883;8;3
"2022-05-04";2259;8;4
"2022-05-05";2462;6;5
"2022-05-06";2580;3;6
"2022-05-07";1252;4;7
"2022-05-08";895;6;1
"2022-05-09";3922;8;2
"2022-05-10";3697;7;3
"2022-05-11";4322;9;4
"2022-05-12";4468;7;5
"2022-05-13";4373;6;6
"2022-05-14";1867;8;7
"2022-05-15";1480;9;1
"2022-05-16";5870;9;2
