"data";"quant_casos";"quant_obitos";"dia_semana"
"2022-10-01";66;4;7
"2022-10-02";62;1;1
"2022-10-03";240;2;2
"2022-10-04";166;4;3
"2022-10-05";168;4;4
"2022-10-06";147;4;5
"2022-10-07";127;1;6
"2022-10-08";39;1;7
"2022-10-09";31;3;1
"2022-10-10";192;3;2
"2022-10-11";122;2;3
"2022-10-12";42;4;4
"2022-10-13";155;3;5
"2022-10-14";131;2;6
"2022-10-15";55;0;7
"2022-10-16";47;2;1
"2022-10-17";195;1;2
"2022-10-18";132;2;3
"2022-10-19";174;3;4
"2022-10-20";148;0;5
"2022-10-21";163;2;6
"2022-10-22";46;0;7
"2022-10-23";44;1;1
"2022-10-24";173;2;2
"2022-10-25";126;2;3
"2022-10-26";154;0;4
"2022-10-27";158;2;5
"2022-10-28";131;1;6
"2022-10-29";53;1;7
"2022-10-30";47;0;1
"2022-10-31";131;1;2
"2022-11-01";143;1;3
"2022-11-02";71;1;4
"2022-11-03";219;5;5
"2022-11-04";173;1;6
"2022-11-05";98;1;7
"2022-11-06";63;2;1
"2022-11-07";292;0;2
"2022-11-08";306;1;3
"2022-11-09";349;3;4
"2022-11-10";466;0;5
"2022-11-11";444;0;6
"2022-11-12";272;1;7
"2022-11-13";243;3;1
"2022-11-14";624;2;2
"2022-11-15";346;1;3
"2022-11-16";1405;2;4
"2022-11-17";1287;2;5
"2022-11-18";1325;2;6
"2022-11-19";501;2;7
"2022-11-20";379;3;1
"2022-11-21";1929;1;2
"2022-11-22";1659;4;3
"2022-11-23";2119;1;4
"2022-11-24";2073;2;5
"2022-11-25";2437;6;6
"2022-11-26";966;3;7
"2022-11-27";831;4;1
"2022-11-28";3449;4;2
"2022-11-29";3432;7;3
"2022-11-30";3864;6;4
"2022-12-01";3910;4;5
"2022-12-02";3460;7;6
"2022-12-03";1577;3;7
"2022-12-04";1153;6;1
"2022-12-05";5171;6;2
"2022-12-06";4854;8;3
"2022-12-07";5235;9;4
"2022-12-08";4756;9;5
"2022-12-09";4312;6;6
"2022-12-10";1804;11;7
"2022-12-11";1465;5;1
"2022-12-12";6886;5;2
"2022-12-13";5536;8;3
"2022-12-14";6019;6;4
"2022-12-15";5863;15;5
"2022-12-16";5564;12;6
"2022-12-17";2064;10;7
"2022-12-18";1614;10;1
"2022-12-19";7044;8;2
"2022-12-20";5896;12;3
"2022-12-21";5856;7;4
"2022-12-22";5882;12;5
"2022-12-23";5137;12;6
"2022-12-24";2120;7;7
"2022-12-25";1106;14;1
"2022-12-26";5749;5;2
"2022-12-27";4750;8;3
"2022-12-28";4621;11;4
"2022-12-29";4093;5;5
"2022-12-30";3246;9;6
"2022-12-31";1146;13;7
"2023-01-01";617;6;1
"2023-01-02";2929;13;2
"2023-01-03";2333;13;3
"2023-01-04";2229;6;4
"2023-01-05";1751;6;5
"2023-01-06";1158;3;6
"2023-01-07";218;0;7
