"","dia","obitos"
"266",2020-10-05,39
"267",2020-10-06,34
"268",2020-10-07,26
"269",2020-10-08,25
"270",2020-10-09,33
"271",2020-10-10,38
"272",2020-10-11,36
"273",2020-10-12,32
"274",2020-10-13,30
"275",2020-10-14,25
"276",2020-10-15,34
"277",2020-10-16,39
"278",2020-10-17,33
"279",2020-10-18,37
"280",2020-10-19,34
"281",2020-10-20,35
"282",2020-10-21,31
"283",2020-10-22,20
"284",2020-10-23,34
"285",2020-10-24,17
"286",2020-10-25,27
"287",2020-10-26,34
"288",2020-10-27,42
"289",2020-10-28,30
"290",2020-10-29,41
"291",2020-10-30,27
"292",2020-10-31,33
"293",2020-11-01,36
"294",2020-11-02,26
"295",2020-11-03,28
"296",2020-11-04,33
"297",2020-11-05,28
"298",2020-11-06,33
"299",2020-11-07,33
"300",2020-11-08,33
"301",2020-11-09,26
"302",2020-11-10,26
"303",2020-11-11,38
"304",2020-11-12,30
"305",2020-11-13,32
"306",2020-11-14,38
"307",2020-11-15,39
"308",2020-11-16,43
"309",2020-11-17,40
"310",2020-11-18,35
"311",2020-11-19,45
"312",2020-11-20,33
"313",2020-11-21,32
"314",2020-11-22,31
"315",2020-11-23,48
"316",2020-11-24,48
"317",2020-11-25,56
"318",2020-11-26,51
"319",2020-11-27,46
"320",2020-11-28,50
"321",2020-11-29,52
"322",2020-11-30,79
"323",2020-12-01,52
"324",2020-12-02,61
"325",2020-12-03,55
"326",2020-12-04,58
"327",2020-12-05,59
"328",2020-12-06,47
"329",2020-12-07,73
"330",2020-12-08,64
"331",2020-12-09,64
"332",2020-12-10,71
"333",2020-12-11,82
"334",2020-12-12,70
"335",2020-12-13,77
"336",2020-12-14,59
"337",2020-12-15,74
"338",2020-12-16,86
"339",2020-12-17,61
"340",2020-12-18,73
"341",2020-12-19,62
"342",2020-12-20,87
"343",2020-12-21,67
"344",2020-12-22,69
"345",2020-12-23,78
"346",2020-12-24,61
"347",2020-12-25,63
"348",2020-12-26,79
"349",2020-12-27,64
"350",2020-12-28,75
"351",2020-12-29,74
"352",2020-12-30,85
"353",2020-12-31,60
